id,transactionId,description,user,actionTrig,actionPerformed,changeSet,dn,affectedObject,cause,creation_date,creation_time
4294970453,576460752303464246,BrCP board_to_db created,admin,config,creation,"descr:Contract Created Using Ansible, name:board_to_db, prio:unspecified, scope:context, targetDscp:unspecified",subj-[uni/tn-common/brc-board_to_db]/mod-4294970453,uni/tn-common/brc-board_to_db,transition,2021-03-02,15:11:05.516+00:00
4294970454,576460752303464244,BrCP board_to_web created,admin,config,creation,"descr:Contract Created Using Ansible, name:board_to_web, prio:unspecified, scope:context, targetDscp:unspecified",subj-[uni/tn-common/brc-board_to_web]/mod-4294970454,uni/tn-common/brc-board_to_web,transition,2021-03-02,15:11:04.190+00:00
4294970455,576460752303464320,RsVlanNs created,admin,config,creation,tDn:uni/infra/vlanns-[And-VLP-500-505-Ph]-static,subj-[uni/phys-And-PhyDom-Serv1/rsvlanNs]/mod-4294970455,uni/phys-And-PhyDom-Serv1/rsvlanNs,transition,2021-03-02,15:13:57.194+00:00
4294970456,576460752303464320,DomP And-PhyDom-Serv1 created,admin,config,creation,name:And-PhyDom-Serv1,subj-[uni/phys-And-PhyDom-Serv1]/mod-4294970456,uni/phys-And-PhyDom-Serv1,transition,2021-03-02,15:13:57.193+00:00
4294970457,576460752303464365,RsDomP uni/phys-And-PhyDom-Serv1 created,admin,config,creation,tDn:uni/phys-And-PhyDom-Serv1,subj-[uni/infra/attentp-And-AEP-Inb-Serv1/rsdomP-[uni/phys-And-PhyDom-Serv1]]/mod-4294970457,uni/infra/attentp-And-AEP-Inb-Serv1/rsdomP-[uni/phys-And-PhyDom-Serv1],transition,2021-03-02,15:15:52.189+00:00
4294970458,576460752303464365,AttEntityP And-AEP-Inb-Serv1 created,admin,config,creation,name:And-AEP-Inb-Serv1,subj-[uni/infra/attentp-And-AEP-Inb-Serv1]/mod-4294970458,uni/infra/attentp-And-AEP-Inb-Serv1,transition,2021-03-02,15:15:52.188+00:00
4294970459,576460752303464430,RsAttEntP created,admin,config,creation,tDn:uni/infra/attentp-And-AEP-Inb-Serv1,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsattEntP]/mod-4294970459,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsattEntP,transition,2021-03-02,15:18:16.291+00:00
4294970460,576460752303464430,RsStpIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsstpIfPol]/mod-4294970460,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsstpIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970461,576460752303464430,RsStormctrlIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsstormctrlIfPol]/mod-4294970461,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsstormctrlIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970462,576460752303464430,RsQosSdIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosSdIfPol]/mod-4294970462,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosSdIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970463,576460752303464430,RsQosPfcIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosPfcIfPol]/mod-4294970463,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosPfcIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970464,576460752303464430,RsQosIngressDppIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsQosIngressDppIfPol]/mod-4294970464,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsQosIngressDppIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970465,576460752303464430,RsQosEgressDppIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsQosEgressDppIfPol]/mod-4294970465,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsQosEgressDppIfPol,transition,2021-03-02,15:18:16.291+00:00
4294970466,576460752303464430,RsQosDppIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosDppIfPol]/mod-4294970466,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsqosDppIfPol,transition,2021-03-02,15:18:16.290+00:00
4294970467,576460752303464430,RsMonIfInfraPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmonIfInfraPol]/mod-4294970467,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmonIfInfraPol,transition,2021-03-02,15:18:16.290+00:00
4294970468,576460752303464430,RsMcpIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmcpIfPol]/mod-4294970468,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmcpIfPol,transition,2021-03-02,15:18:16.290+00:00
4294970469,576460752303464430,RsMacsecIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmacsecIfPol]/mod-4294970469,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsmacsecIfPol,transition,2021-03-02,15:18:16.290+00:00
4294970470,576460752303464430,RsLldpIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rslldpIfPol]/mod-4294970470,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rslldpIfPol,transition,2021-03-02,15:18:16.290+00:00
4294970471,576460752303464430,RsL2PortSecurityPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2PortSecurityPol]/mod-4294970471,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2PortSecurityPol,transition,2021-03-02,15:18:16.290+00:00
4294970472,576460752303464430,RsL2PortAuthPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2PortAuthPol]/mod-4294970472,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2PortAuthPol,transition,2021-03-02,15:18:16.290+00:00
4294970473,576460752303464430,RsL2IfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2IfPol]/mod-4294970473,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsl2IfPol,transition,2021-03-02,15:18:16.290+00:00
4294970474,576460752303464430,RsHIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rshIfPol]/mod-4294970474,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rshIfPol,transition,2021-03-02,15:18:16.290+00:00
4294970475,576460752303464430,RsFcIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsfcIfPol]/mod-4294970475,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsfcIfPol,transition,2021-03-02,15:18:16.289+00:00
4294970476,576460752303464430,RsDwdmIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsdwdmIfPol]/mod-4294970476,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rsdwdmIfPol,transition,2021-03-02,15:18:16.289+00:00
4294970477,576460752303464430,RsCoppIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rscoppIfPol]/mod-4294970477,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rscoppIfPol,transition,2021-03-02,15:18:16.289+00:00
4294970478,576460752303464430,RsCdpIfPol created,admin,config,creation,,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rscdpIfPol]/mod-4294970478,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1/rscdpIfPol,transition,2021-03-02,15:18:16.289+00:00
4294970479,576460752303464430,AccPortGrp And-IntPolGr-Serv1 created,admin,config,creation,name:And-IntPolGr-Serv1,subj-[uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1]/mod-4294970479,uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1,transition,2021-03-02,15:18:16.289+00:00
4294970480,576460752303464490,RsAccBaseGrp created,admin,config,creation,"fexId:101, tDn:uni/infra/funcprof/accportgrp-And-IntPolGr-Serv1",subj-[uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range/rsaccBaseGrp]/mod-4294970480,uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range/rsaccBaseGrp,transition,2021-03-02,15:20:44.428+00:00
4294970481,576460752303464490,PortBlk block2 created,admin,config,creation,"fromCard:1, fromPort:35, name:block2, toCard:1, toPort:35",subj-[uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range/portblk-block2]/mod-4294970481,uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range/portblk-block2,transition,2021-03-02,15:20:44.428+00:00
4294970482,576460752303464490,HPortS 1:35 range created,admin,config,creation,"name:1:35, type:range",subj-[uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range]/mod-4294970482,uni/infra/accportprof-And-IntProf-leaf-2-35/hports-1:35-typ-range,transition,2021-03-02,15:20:44.428+00:00
4294970483,576460752303464490,AccPortP And-IntProf-leaf-2-35 created,admin,config,creation,name:And-IntProf-leaf-2-35,subj-[uni/infra/accportprof-And-IntProf-leaf-2-35]/mod-4294970483,uni/infra/accportprof-And-IntProf-leaf-2-35,transition,2021-03-02,15:20:44.428+00:00
4294967298,576460752303423657,RsProv database created,admin,config,creation,"matchT:AtleastOne, prio:unspecified, tnVzBrCPName:database",subj-[uni/tn-SnV/ap-Chaos/epg-Database/rsprov-database]/mod-4294967298,uni/tn-SnV/ap-Chaos/epg-Database/rsprov-database,transition,2021-03-01,13:06:41.424+00:00
4294967299,576460752303423657,RsDomAtt uni/phys-SnV_phys created,admin,config,creation,"bindingType:none, classPref:encap, encap:unknown, encapMode:auto, epgCos:Cos0, epgCosPref:disabled, instrImedcy:lazy, netflowDir:both, netflowPref:disabled, numPorts:0, portAllocation:none, primaryEncap:unknown, primaryEncapInner:unknown, resImedcy:lazy, secondaryEncapInner:unknown, switchingMode:native, tDn:uni/phys-SnV_phys",subj-[uni/tn-SnV/ap-Chaos/epg-Database/rsdomAtt-[uni/phys-SnV_phys]]/mod-4294967299,uni/tn-SnV/ap-Chaos/epg-Database/rsdomAtt-[uni/phys-SnV_phys],transition,2021-03-01,13:06:41.424+00:00
4294967300,576460752303423657,RsPathAtt topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1A] created,admin,config,creation,"encap:vlan-126, instrImedcy:lazy, mode:regular, primaryEncap:unknown, tDn:topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1A]",subj-[uni/tn-SnV/ap-Chaos/epg-Database/rspathAtt-[topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1A]]]/mod-4294967300,uni/tn-SnV/ap-Chaos/epg-Database/rspathAtt-[topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1A]],transition,2021-03-01,13:06:41.423+00:00
4294967301,576460752303423657,RsPathAtt topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1B] created,admin,config,creation,"encap:vlan-126, instrImedcy:lazy, mode:regular, primaryEncap:unknown, tDn:topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1B]",subj-[uni/tn-SnV/ap-Chaos/epg-Database/rspathAtt-[topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1B]]]/mod-4294967301,uni/tn-SnV/ap-Chaos/epg-Database/rspathAtt-[topology/pod-1/protpaths-101-102/pathep-[SnV_FI-1B]],transition,2021-03-01,13:06:41.423+00:00
4294967302,576460752303423657,RsCustQosPol created,admin,config,creation,,subj-[uni/tn-SnV/ap-Chaos/epg-Database/rscustQosPol]/mod-4294967302,uni/tn-SnV/ap-Chaos/epg-Database/rscustQosPol,transition,2021-03-01,13:06:41.423+00:00
4294967303,576460752303423657,RsBd created,admin,config,creation,tnFvBDName:antigravity,subj-[uni/tn-SnV/ap-Chaos/epg-Database/rsbd]/mod-4294967303,uni/tn-SnV/ap-Chaos/epg-Database/rsbd,transition,2021-03-01,13:06:41.423+00:00
4294967304,576460752303423657,AEPg Database created,admin,config,creation,"floodOnEncap:disabled, hasMcastSource:no, isAttrBasedEPg:no, matchT:AtleastOne, name:Database, pcEnfPref:unenforced, prefGrMemb:exclude, prio:unspecified, shutdown:no",subj-[uni/tn-SnV/ap-Chaos/epg-Database]/mod-4294967304,uni/tn-SnV/ap-Chaos/epg-Database,transition,2021-03-01,13:06:41.423+00:00
