type,sfpname,partnumber,serialnumber,state,switch,interface
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DBZZ     ,inserted,101,eth1/1
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DCF5     ,inserted,101,eth1/2
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DCFF     ,inserted,101,eth1/5
,,,,removed,101,eth1/6
,,,,removed,101,eth1/44
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2034D6FE     ,inserted,101,eth1/45
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRL5     ,inserted,101,eth1/47
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKR     ,inserted,101,eth1/48
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392Z5     ,inserted,101,eth1/18
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954S     ,inserted,101,eth1/17
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339577     ,inserted,101,eth1/16
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339303     ,inserted,101,eth1/15
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLE     ,inserted,101,eth1/8
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKL     ,inserted,101,eth1/7
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRJ2     ,inserted,101,eth1/14
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRL2     ,inserted,101,eth1/13
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DCFA     ,inserted,101,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2127DCF8     ,inserted,101,eth1/4
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DLUS     ,inserted,101,eth1/46
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKU     ,inserted,101,eth1/20
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRL6     ,inserted,101,eth1/19
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233931K     ,inserted,101,eth1/43
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKD     ,inserted,101,eth1/12
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKB     ,inserted,101,eth1/11
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRM9     ,inserted,101,eth1/10
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKX     ,inserted,101,eth1/9
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2123U0GT     ,inserted,101,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U3A4     ,inserted,101,eth1/50
,,,,removed,101,eth1/51
,,,,removed,101,eth1/52
,,,,removed,101,eth1/53
,,,,removed,101,eth1/54
,,,,removed,101,eth1/21
,,,,removed,101,eth1/22
,,,,removed,101,eth1/23
,,,,removed,101,eth1/24
,,,,removed,101,eth1/25
,,,,removed,101,eth1/26
,,,,removed,101,eth1/27
,,,,removed,101,eth1/28
,,,,removed,101,eth1/29
,,,,removed,101,eth1/30
,,,,removed,101,eth1/31
,,,,removed,101,eth1/32
,,,,removed,101,eth1/33
,,,,removed,101,eth1/34
,,,,removed,101,eth1/35
,,,,removed,101,eth1/36
,,,,removed,101,eth1/37
,,,,removed,101,eth1/38
,,,,removed,101,eth1/39
,,,,removed,101,eth1/40
,,,,removed,101,eth1/41
,,,,removed,101,eth1/42
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLJ     ,inserted,102,eth1/1
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLF     ,inserted,102,eth1/2
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLN     ,inserted,102,eth1/5
,,,,removed,102,eth1/6
,,,,removed,102,eth1/44
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKY     ,inserted,102,eth1/45
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLD     ,inserted,102,eth1/47
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DLUC     ,inserted,102,eth1/48
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223394V8     ,inserted,102,eth1/43
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRKE     ,inserted,102,eth1/20
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRL3     ,inserted,102,eth1/19
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRM8     ,inserted,102,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339555     ,inserted,102,eth1/18
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339550     ,inserted,102,eth1/17
