last_transition_time,last_transition_date,fault_code,description,severity,DN,creation_date,creation_time
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram5 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram5]-f-[/dev/zram5]/fault-F0101,2020-09-03,22:13:21.221+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram4 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram4]-f-[/dev/zram4]/fault-F0101,2020-09-03,22:13:21.225+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram6 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram6]-f-[/dev/zram6]/fault-F0101,2020-09-03,22:13:21.232+00:00
22:15:32.413+00:00,2020-09-03,F1529,Storage unit /mgmt on node 1 with hostname apic1 mounted at /mgmt is 98% full,critical,topology/pod-1/node-1/sys/ch/p-[/mgmt]-f-[/dev/mapper/cryptdir2]/fault-F1529,2020-09-03,22:13:21.328+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram7 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram7]-f-[/dev/zram7]/fault-F0101,2020-09-03,22:13:21.331+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram3 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram3]-f-[/dev/zram3]/fault-F0101,2020-09-03,22:13:21.333+00:00
22:15:32.413+00:00,2020-09-03,F0104,Bond Interface po1.1 on node 1 of fabric ACI Fabric1 with hostname apic1 is now down,critical,topology/pod-1/node-1/sys/caggr-[po1.1]/fault-F0104,2020-09-03,22:13:21.336+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram0 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram0]-f-[/dev/zram0]/fault-F0101,2020-09-03,22:13:21.360+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram1 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram1]-f-[/dev/zram1]/fault-F0101,2020-09-03,22:13:21.362+00:00
22:15:32.413+00:00,2020-09-03,F0101,Storage unit /dev/zram2 on node 1 has failed.,major,topology/pod-1/node-1/sys/ch/p-[/dev/zram2]-f-[/dev/zram2]/fault-F0101,2020-09-03,22:13:21.364+00:00
22:16:02.424+00:00,2020-09-03,F3057,APIC Controller product is not registered with CSSM and the product is in 90 days evaluation period.,warning,licensecont/manager/fault-F3057,2020-09-03,22:13:33.905+00:00
15:39:37.144+00:00,2020-09-05,F3302,Failed to form relation to MO mldsnoopPol-default of class mldSnoopPol in context ,cleared,uni/tn-GDC/BD-BD1/rsmldsn/fault-F3302,2020-09-05,15:39:37.139+00:00
15:39:37.149+00:00,2020-09-05,F0953,Failed to form relation to MO snPol-default of class igmpSnoopPol in context ,cleared,uni/tn-GDC/BD-BD1/rsigmpsn/fault-F0953,2020-09-05,15:39:37.147+00:00
15:39:37.154+00:00,2020-09-05,F1534,Failed to form relation to MO ndifpol-default of class ndIfPol in context ,cleared,uni/tn-GDC/BD-BD1/rsBDToNdP/fault-F1534,2020-09-05,15:39:37.151+00:00
15:55:34.434+00:00,2020-09-05,F0971,Failed to form relation to MO qoscustom-default of class qosCustomPol in context ,cleared,uni/tn-GDC/ap-SAP/epg-NM-11/rscustQosPol/fault-F0971,2020-09-05,15:55:34.431+00:00
05:36:36.031+00:00,2020-09-05,F1021,Failed to form relation to MO uni/l3dom-spod1 of class extnwDomP,warning,uni/tn-Shore-Test-1/out-ospf_test/rsl3DomAtt/fault-F1021,2020-09-05,05:36:36.031+00:00
09:09:08.552+00:00,2020-09-05,F1298,"For tenant mgmt, management profile default, deployment of out-band EPG default failed on node 1002. Reason Node Cannot Deploy EPG",minor,uni/epp/oob-[uni/tn-mgmt/mgmtp-default/oob-default]/node-1002/polDelSt/fault-F1298,2020-09-05,09:07:02.903+00:00
09:09:08.552+00:00,2020-09-05,F1298,"For tenant mgmt, management profile default, deployment of out-band EPG default failed on node 1102. Reason Node Cannot Deploy EPG",minor,uni/epp/oob-[uni/tn-mgmt/mgmtp-default/oob-default]/node-1102/polDelSt/fault-F1298,2020-09-05,09:07:02.907+00:00
09:09:08.552+00:00,2020-09-05,F1298,"For tenant mgmt, management profile default, deployment of out-band EPG default failed on node 1202. Reason Node Cannot Deploy EPG",minor,uni/epp/oob-[uni/tn-mgmt/mgmtp-default/oob-default]/node-1202/polDelSt/fault-F1298,2020-09-05,09:07:02.910+00:00
