creation_date,creation_time,fault_code,description,severity,cause,affected
2020-12-27,14:30:59.191,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 42 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:30:59.187,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:30:58.610,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",cleared,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:30:44.639,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 24 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-122/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-T2/epg-EPG-T2-GENETEC-VL1790]
2020-12-27,14:30:22.656,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:28:52.928,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:47.150,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:45.643,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:41.316,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:28:40.100,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:27:58.576,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:26:16.635,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 19 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:25:53.121,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 41 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:25:53.116,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-119/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:25:31.957,F0532,"Port is down, reason being notconnect(connected), used by EPG on node 103 of fabric DA-FAB01 with hostname MD-LS03-E10",critical,interface-physical-down,topology/pod-1/node-103/sys/phys-[eth1/31]/phys
2020-12-27,14:25:13.613,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 0 fell below threshold 10,cleared,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
2020-12-27,14:22:10.598,F112296,TCA: ingress drop packets rate(l2IngrPktsPart5min:dropRate) value 15 raised above threshold 10,warning,threshold-crossed,topology/pod-1/node-120/local/svc-policyelem-id-0/uni/epp/fv-[uni/tn-CCTV/ap-CA/epg-EPG-CA-GENETEC-VL1784]
